id,order_id,product_id,price,created_at
1,1,3,275,2019-01-31 00:00:00
2,2,78,248,2021-01-20 00:00:00
3,3,93,197,2021-11-25 00:00:00
4,4,18,223,2019-12-23 00:00:00
5,5,93,75,2019-04-20 00:00:00
6,6,37,262,2021-09-17 00:00:00
7,7,18,27,2021-10-08 00:00:00
8,8,69,163,2020-08-11 00:00:00
9,9,27,234,2019-09-01 00:00:00
10,10,12,68,2021-06-06 00:00:00
11,11,85,65,2020-09-27 00:00:00
12,12,37,221,2020-04-20 00:00:00
13,13,60,222,2021-12-05 00:00:00
14,14,33,178,2019-05-23 00:00:00
15,15,72,205,2020-01-02 00:00:00
16,16,70,113,2021-03-25 00:00:00
17,17,33,116,2020-03-26 00:00:00
18,18,34,171,2019-07-04 00:00:00
19,19,41,123,2021-01-19 00:00:00
20,20,51,57,2019-12-14 00:00:00
21,21,50,165,2020-02-14 00:00:00
22,22,39,101,2019-07-20 00:00:00
23,23,50,254,2019-01-29 00:00:00
24,24,89,210,2020-08-05 00:00:00
25,25,53,172,2019-03-31 00:00:00
26,26,71,135,2021-09-08 00:00:00
27,27,83,234,2019-06-03 00:00:00
28,28,19,120,2019-07-28 00:00:00
29,29,88,267,2019-02-23 00:00:00
30,30,88,228,2021-06-17 00:00:00
31,31,10,115,2019-09-28 00:00:00
32,32,39,66,2019-05-13 00:00:00
33,33,44,174,2021-03-21 00:00:00
34,34,45,77,2020-12-29 00:00:00
35,35,42,142,2019-02-21 00:00:00
36,36,44,130,2020-01-01 00:00:00
37,37,82,143,2021-08-09 00:00:00
38,38,29,95,2021-08-23 00:00:00
39,39,14,51,2020-07-11 00:00:00
40,40,13,59,2020-04-05 00:00:00
41,41,95,211,2019-02-18 00:00:00
42,42,76,210,2019-10-18 00:00:00
43,43,75,271,2020-11-24 00:00:00
44,44,57,21,2019-05-31 00:00:00
45,45,51,259,2021-05-18 00:00:00
46,46,53,275,2020-10-13 00:00:00
47,47,75,190,2021-07-01 00:00:00
48,48,50,153,2020-10-15 00:00:00
49,49,45,226,2021-08-14 00:00:00
50,50,30,121,2020-10-19 00:00:00
51,51,38,42,2020-08-24 00:00:00
52,52,16,53,2019-12-14 00:00:00
53,53,75,231,2019-11-07 00:00:00
54,54,52,144,2020-04-21 00:00:00
55,55,32,255,2019-02-23 00:00:00
