id,user_id,status,completed_at,created_at
1,434,completed,2019-01-05 00:00:00,2019-01-02 00:00:00
2,554,shipped,2019-01-17 00:00:00,2019-01-02 00:00:00
3,41,completed,2019-01-27 00:00:00,2019-01-02 00:00:00
4,599,shipped,2019-01-09 00:00:00,2019-01-02 00:00:00
5,34,processing,2019-01-29 00:00:00,2019-01-02 00:00:00
6,327,completed,2019-01-27 00:00:00,2019-01-02 00:00:00
7,201,processing,2019-01-24 00:00:00,2019-01-02 00:00:00
8,590,shipped,2019-01-23 00:00:00,2019-01-03 00:00:00
9,449,completed,2019-01-26 00:00:00,2019-01-03 00:00:00
10,500,completed,2019-01-19 00:00:00,2019-01-03 00:00:00
11,478,processing,2019-01-23 00:00:00,2019-01-03 00:00:00
12,633,shipped,2019-01-04 00:00:00,2019-01-03 00:00:00
13,440,processing,2019-01-18 00:00:00,2019-01-03 00:00:00
14,178,completed,2019-01-15 00:00:00,2019-01-03 00:00:00
15,361,shipped,2019-01-27 00:00:00,2019-01-03 00:00:00
16,491,shipped,2019-01-26 00:00:00,2019-01-03 00:00:00
17,683,completed,2019-02-02 00:00:00,2019-01-04 00:00:00
18,377,completed,2019-02-03 00:00:00,2019-01-04 00:00:00
19,634,processing,2019-02-02 00:00:00,2019-01-04 00:00:00
20,309,processing,2019-01-14 00:00:00,2019-01-04 00:00:00
21,45,processing,2019-02-01 00:00:00,2019-01-04 00:00:00
22,654,shipped,2019-01-25 00:00:00,2019-01-05 00:00:00
23,519,processing,2019-01-11 00:00:00,2019-01-05 00:00:00
24,111,shipped,2019-01-11 00:00:00,2019-01-05 00:00:00
25,29,shipped,2019-01-30 00:00:00,2019-01-05 00:00:00
26,596,shipped,2019-02-02 00:00:00,2019-01-05 00:00:00
27,626,shipped,2019-01-30 00:00:00,2019-01-05 00:00:00
28,330,shipped,2019-01-28 00:00:00,2019-01-05 00:00:00
29,486,completed,2019-01-17 00:00:00,2019-01-05 00:00:00
30,278,completed,2019-01-31 00:00:00,2019-01-05 00:00:00
31,302,processing,2019-01-29 00:00:00,2019-01-06 00:00:00
32,413,processing,2019-01-10 00:00:00,2019-01-06 00:00:00
33,60,processing,2019-01-15 00:00:00,2019-01-06 00:00:00
34,277,completed,2019-02-03 00:00:00,2019-01-06 00:00:00
35,72,shipped,2019-01-31 00:00:00,2019-01-06 00:00:00
36,352,shipped,2019-01-07 00:00:00,2019-01-06 00:00:00
37,658,processing,2019-01-27 00:00:00,2019-01-07 00:00:00
38,197,shipped,2019-01-22 00:00:00,2019-01-07 00:00:00
39,663,processing,2019-01-26 00:00:00,2019-01-07 00:00:00
40,368,shipped,2019-02-03 00:00:00,2019-01-07 00:00:00
41,19,shipped,2019-01-25 00:00:00,2019-01-08 00:00:00
42,53,processing,2019-01-16 00:00:00,2019-01-08 00:00:00
43,243,shipped,2019-02-07 00:00:00,2019-01-08 00:00:00
44,231,shipped,2019-01-16 00:00:00,2019-01-08 00:00:00
